C,k,knn
8.0,50,10,0.52507
8.0,50,20,0.52066
8.0,50,30,0.52188
8.0,50,40,0.48630
8.0,50,50,0.47720
8.0,75,10,0.52885
8.0,75,20,0.53166
8.0,75,30,0.52976
8.0,75,40,0.49127
8.0,75,50,0.48697
10.0,50,10,0.52743
10.0,50,20,0.52349
10.0,50,30,0.52400
10.0,50,40,0.48836
10.0,50,50,0.48086
10.0,75,10,0.53037
10.0,75,20,0.53506
10.0,75,30,0.53260
10.0,75,40,0.49442
10.0,75,50,0.48979
15.0,50,10,0.52696
15.0,50,20,0.52614
15.0,50,30,0.52612
15.0,50,40,0.49249
15.0,50,50,0.48408
15.0,75,10,0.53076
15.0,75,20,0.53840
15.0,75,30,0.53560
15.0,75,40,0.49712
15.0,75,50,0.49431
